Key,en,pt,de,es,kr
calc.editors.ra.toolbar.orderBy-content,"<div><b class=""math"">&tau;</b> a asc, [2] desc <b> (</b> A <b>)</b><div><div><b class=""math"">tau</b> a asc, [2] desc <b> (</b> A <b>)</b></div>","<div><b class=""math"">&tau;</b> a asc, [2] desc <b> (</b> A <b>)</b><div><div><b class=""math"">tau</b> a asc, [2] desc <b> (</b> A <b>)</b></div>",,"<div><b class=""math"">&tau;</b> a asc, [2] desc <b> (</b> A <b>)</b><div><div><b class=""math"">tau</b> a asc, [2] desc <b> (</b> A <b>)</b></div>","<div><b class=""math"">&tau;</b> a asc, [2] desc <b> (</b> A <b>)</b><div><div><b class=""math"">tau</b> a asc, [2] desc <b> (</b> A <b>)</b></div>"
calc.editors.ra.toolbar.groupBy,group by,agrupar (group by),Gruppieren,agrupar por,그룹화
calc.editors.ra.toolbar.groupBy-content,"<div><b class=""math"">&gamma;</b> a, b<b>;</b> count(c)→c ( A )</div>
<div><b class=""math"">gamma</b> count(a)->x, sum(b)->y ( A )</div>","<div><b class=""math"">&gamma;</b> a, b<b>;</b> count(c)→c ( A )</div>
<div><b class=""math"">gamma</b> count(a)->x, sum(b)->y ( A )</div>","<div><b class=""math"">&gamma;</b> a, b<b>;</b> count(c)→c ( A )</div>
<div><b class=""math"">gamma</b> count(a)->x, sum(b)->y ( A )</div>","<div><b class=""math"">&gamma;</b> a, b<b>;</b> count(c)→c ( A )</div>
<div><b class=""math"">gamma</b> count(a)->x, sum(b)->y ( A )</div>","<div><b class=""math"">&gamma;</b> a, b<b>;</b> count(c)→c ( A )</div>
<div><b class=""math"">gamma</b> count(a)->x, sum(b)->y ( A )</div>"
calc.editors.ra.toolbar.and,and,e,Und,y,논리곱
calc.editors.ra.toolbar.and-content,"<div><span class=""math"">&sigma;</span> a < b <b class=""math"">∧</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">∧</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">∧</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">∧</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">∧</b> b <span class=""math"">≠</span> c ( A )</div>"
calc.editors.ra.toolbar.xor,xor,ou exclusivo (xor),Xor,xor,배타적 논리
calc.editors.ra.toolbar.xor-content,"<div><span class=""math"">&sigma;</span> a < b <b class=""math"">⊕</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">⊕</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">⊕</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">⊕</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">⊕</b> b <span class=""math"">≠</span> c ( A )</div>"
calc.editors.ra.toolbar.or,or,ou,Oder,ó,논리합
calc.editors.ra.toolbar.or-content,"<div><span class=""math"">&sigma;</span> a < b <b class=""math"">∨</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">∨</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">∨</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">∨</b> b <span class=""math"">≠</span> c ( A )</div>","<div><span class=""math"">&sigma;</span> a < b <b class=""math"">∨</b> b <span class=""math"">≠</span> c ( A )</div>"
calc.editors.ra.toolbar.not,not,não,Verneinung,no,논리적 부정
calc.editors.ra.toolbar.not-content,<div>&sigma,<div>&sigma, <b>¬</b>(a < b) ( A )</div>,<div>&sigma, <b>¬</b>(a < b) ( A )</div>
calc.editors.ra.toolbar.equals,equals,igual,Gleich,igual,등호
calc.editors.ra.toolbar.equals-content,<div>&sigma,<div>&sigma, a <b>=</b> b ( A )</div>,<div>&sigma, a <b>=</b> b ( A )</div>
calc.editors.ra.toolbar.not-equals,not equals,não igual,Ungleich,no es igual,부등호
calc.editors.ra.toolbar.not-equals-content,<div>&sigma,<div>&sigma, a <b>≠</b> 'text' ( A )</div>,<div>&sigma, a <b>≠</b> 'text' ( A )</div>
calc.editors.ra.toolbar.greater-or-equals,greater or equals,maior ou igual,Größer-Gleich,mayor ó igual,크거나 같다
calc.editors.ra.toolbar.greater-or-equals-content,<div>&sigma,<div>&sigma, a <b>≥</b> 42 ( A )</div>,<div>&sigma, a <b>≥</b> 42 ( A )</div>
calc.editors.ra.toolbar.lesser-or-equals,lesser or equals,menor ou igual,Kleiner-Gleich,menor ó igual,작거나 같다
calc.editors.ra.toolbar.lesser-or-equals-content,<div>&sigma,<div>&sigma, a <b>≤</b> 42 ( A )</div>,<div>&sigma, a <b>≤</b> 42 ( A )</div>
calc.editors.ra.toolbar.intersect,intersect,intersecção,Schnittmenge,intersecta,교집합
calc.editors.ra.toolbar.intersect-content,"<div><b>(</b> A <b>) <span class=""math"">&cap;</span> (</b> B <b>)</b></div>","<div><b>(</b> A <b>) <span class=""math"">&cap;</span> (</b> B <b>)</b></div>","<div><b>(</b> A <b>) <span class=""math"">&cap;</span> (</b> B <b>)</b></div>","<div><b>(</b> A <b>) <span class=""math"">&cap;</span> (</b> B <b>)</b></div>","<div><b>(</b> A <b>) <span class=""math"">&cap;</span> (</b> B <b>)</b></div>"
calc.editors.ra.toolbar.union,union,união,Vereinigung,unión,합집합
calc.editors.ra.toolbar.union-content,"<div><b>(</b> A <b>) <span class=""math"">&cup;</span> (</b> B <b>)</b></div>","<div><b>(</b> A <b>) <span class=""math"">&cup;</span> (</b> B <b>)</b></div>","<div><b>(</b> A <b>) <span class=""math"">&cup;</span> (</b> B <b>)</b></div>","<div><b>(</b> A <b>) <span class=""math"">&cup;</span> (</b> B <b>)</b></div>","<div><b>(</b> A <b>) <span class=""math"">&cup;</span> (</b> B <b>)</b></div>"
calc.editors.ra.toolbar.division,division,divisão,Division (Relationen),división,디비전
calc.editors.ra.toolbar.division-content,<div><b>(</b> A <b>) ÷ (</b> B <b>)</b></div>,<div><b>(</b> A <b>) ÷ (</b> B <b>)</b></div>,<div><b>(</b> A <b>) ÷ (</b> B <b>)</b></div>,<div><b>(</b> A <b>) ÷ (</b> B <b>)</b></div>,<div><b>(</b> A <b>) ÷ (</b> B <b>)</b></div>
calc.editors.ra.toolbar.subtraction,subtraction,subtração,Mengendifferenz,resta,차집합
calc.editors.ra.toolbar.subtraction-content,"<div><b>(</b> A <b>) - (</b> B <b>)</b></div>
<div><b>(</b> A <b>) 
 (</b> B <b>)</b></div>","<div><b>(</b> A <b>) - (</b> B <b>)</b></div>
<div><b>(</b> A <b>) 
 (</b> B <b>)</b></div>","<div><b>(</b> A <b>) - (</b> B <b>)</b></div>
<div><b>(</b> A <b>) 
 (</b> B <b>)</b></div>","<div><b>(</b> A <b>) - (</b> B <b>)</b></div>
<div><b>(</b> A <b>) \ (</b> B <b>)</b></div>
","<div><b>(</b> A <b>) - (</b> B <b>)</b></div>
<div><b>(</b> A <b>) \ (</b> B <b>)</b></div>
"
calc.editors.ra.toolbar.cross-join,cross join,junção cruzada (cross join),cross join (Kreuzprodukt),cross join (cruzado),카디션 프로덕트
calc.editors.ra.toolbar.cross-join-content,"<div><b>(</b> A <b>) <b class=""math"">⨯</b> (</b> B <b>)</b></div>","<div><b>(</b> A <b>) <b class=""math"">⨯</b> (</b> B <b>)</b></div>","<div><b>(</b> A <b>) <b class=""math"">⨯</b> (</b> B <b>)</b></div>","<div><b>(</b> A <b>) <b class=""math"">⨯</b> (</b> B <b>)</b></div>","<div><b>(</b> A <b>) <b class=""math"">⨯</b> (</b> B <b>)</b></div>"
calc.editors.ra.toolbar.natural-join,natural join / θ-join,natural join / θ-join,natural join / θ-join,natural join / θ-join,자연 조인 / θ-조인
calc.editors.ra.toolbar.natural-join-content,"<div><b>(</b> A <b>) <b class=""math"">⋈</b> (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⋈ A.a ≥ B.a (</b> B <b>)</b></div>","<div><b>(</b> A <b>) <b class=""math"">⋈</b> (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⋈ A.a ≥ B.a (</b> B <b>)</b></div>","<div><b>(</b> A <b>) <b class=""math"">⋈</b> (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⋈ A.a ≥ B.a (</b> B <b>)</b></div>","<div><b>(</b> A <b>) <b class=""math"">⋈</b> (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⋈ A.a ≥ B.a (</b> B <b>)</b></div>","<div><b>(</b> A <b>) <b class=""math"">⋈</b> (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⋈ A.a ≥ B.a (</b> B <b>)</b></div>"
calc.editors.ra.toolbar.left-outer-join,left outer join,left outer join,left outer join,left outer join,왼쪽 외부 조인
calc.editors.ra.toolbar.left-outer-join-content,"<div><b>(</b> A <b class=""math"">) ⟕ (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⟕ A.a < B.a (</b> B <b>)</b></div>
","<div><b>(</b> A <b class=""math"">) ⟕ (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⟕ A.a < B.a (</b> B <b>)</b></div>
","<div><b>(</b> A <b class=""math"">) ⟕ (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⟕ A.a < B.a (</b> B <b>)</b></div>
","<div><b>(</b> A <b class=""math"">) ⟕ (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⟕ A.a < B.a (</b> B <b>)</b></div>","<div><b>(</b> A <b class=""math"">) ⟕ (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⟕ A.a < B.a (</b> B <b>)</b></div>"
calc.editors.ra.toolbar.right-outer-join,right outer join,right outer join,right outer join,right outer join,오른쪽 외부 조인
calc.editors.ra.toolbar.right-outer-join-content,"<div><b>(</b> A <b class=""math"">) ⟖ (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⟖ A.a < B.a (</b> B <b>)</b></div>
","<div><b>(</b> A <b class=""math"">) ⟖ (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⟖ A.a < B.a (</b> B <b>)</b></div>
","<div><b>(</b> A <b class=""math"">) ⟖ (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⟖ A.a < B.a (</b> B <b>)</b></div>
","<div><b>(</b> A <b class=""math"">) ⟖ (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⟖ A.a < B.a (</b> B <b>)</b></div>","<div><b>(</b> A <b class=""math"">) ⟖ (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⟖ A.a < B.a (</b> B <b>)</b></div>"
calc.editors.ra.toolbar.full-outer-join,full outer join,full outer join,full outer join,full outer join,완전 외부 조인
calc.editors.ra.toolbar.full-outer-join-content,"<div><b>(</b> A <b class=""math"">) ⟗ (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⟗ A.a != B.a (</b> B <b>)</b></div>","<div><b>(</b> A <b class=""math"">) ⟗ (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⟗ A.a != B.a (</b> B <b>)</b></div>","<div><b>(</b> A <b class=""math"">) ⟗ (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⟗ A.a != B.a (</b> B <b>)</b></div>","<div><b>(</b> A <b class=""math"">) ⟗ (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⟗ A.a != B.a (</b> B <b>)</b></div>","<div><b>(</b> A <b class=""math"">) ⟗ (</b> B <b>)</b></div>
<div><b>(</b> A <b class=""math"">) ⟗ A.a != B.a (</b> B <b>)</b></div>"
calc.editors.ra.toolbar.left-semi-join,left semi join,left semi join,left semi join,left semi join,왼쪽 세미 조인
calc.editors.ra.toolbar.left-semi-join-content,"<div><b>(</b> A <b class=""math"">) ⋉ (</b> B <b>)</b></div>","<div><b>(</b> A <b class=""math"">) ⋉ (</b> B <b>)</b></div>","<div><b>(</b> A <b class=""math"">) ⋉ (</b> B <b>)</b></div>","<div><b>(</b> A <b class=""math"">) ⋉ (</b> B <b>)</b></div>","<div><b>(</b> A <b class=""math"">) ⋉ (</b> B <b>)</b></div>"
calc.editors.ra.toolbar.right-semi-join,right semi join,right semi join,right semi join,right semi join,오른쪽 세미 조인
calc.editors.ra.toolbar.right-semi-join-content,"<div><b>(</b> A <b class=""math"">) ⋊ (</b> B <b>)</b></div>","<div><b>(</b> A <b class=""math"">) ⋊ (</b> B <b>)</b></div>","<div><b>(</b> A <b class=""math"">) ⋊ (</b> B <b>)</b></div>","<div><b>(</b> A <b class=""math"">) ⋊ (</b> B <b>)</b></div>","<div><b>(</b> A <b class=""math"">) ⋊ (</b> B <b>)</b></div>"
calc.editors.ra.toolbar.anti-join,anti join,anti join,anti join,anti join,안티 조인
calc.editors.ra.toolbar.anti-join-content,"<div><b>(</b> A <b class=""math"">) ▷ (</b> B <b>)</b></div>","<div><b>(</b> A <b class=""math"">) ▷ (</b> B <b>)</b></div>","<div><b>(</b> A <b class=""math"">) ▷ (</b> B <b>)</b></div>","<div><b>(</b> A <b class=""math"">) ▷ (</b> B <b>)</b></div>","<div><b>(</b> A <b class=""math"">) ▷ (</b> B <b>)</b></div>"
calc.editors.ra.toolbar.assignment,assignment,atribuição,Zuweisung,asignación,할당
calc.editors.ra.toolbar.assignment-content,"<div><b>X = </b> pi a ( A )
<br /><b>Y = </b> pi b ( b )
<br />( X ) <span class=""math"">&cup;</span> ( Y )<br /></div>","<div><b>X = </b> pi a ( A )
<br /><b>Y = </b> pi b ( b )
<br />( X ) <span class=""math"">&cup;</span> ( Y )<br /></div>","<div><b>X = </b> pi a ( A )
<br /><b>Y = </b> pi b ( b )
<br />( X ) <span class=""math"">&cup;</span> ( Y )<br /></div>","<div><b>X = </b> pi a ( A )
<br /><b>Y = </b> pi b ( b )
<br />( X ) <span class=""math"">&cup;</span> ( Y )<br /></div>","<div><b>X = </b> pi a ( A )
<br /><b>Y = </b> pi b ( b )
<br />( X ) <span class=""math"">&cup;</span> ( Y )<br /></div>"
calc.editors.ra.toolbar.single-line-comment,single-line comment,comentário em linha,Kommentar einzeilig,comentario de una línea,한 줄 주석
calc.editors.ra.toolbar.single-line-comment-content,"<span class=""math"">&pi;</span> a, b A <b>-- useful comment</b>","<span class=""math"">&pi;</span> a, b A <b>-- comentário útil</b>","<span class=""math"">&pi;</span> a, b A <b>-- useful comment</b>","<span class=""math"">&pi;</span> a, b A <b>-- useful comment</b>","<span class=""math"">&pi;</span> a, b A <b>-- useful comment</b>"
calc.editors.ra.toolbar.multi-line-comment,multi-line comment,comentário multilinha,Kommentar mehrzeilig,comentario de múltiples líneas,여러 줄 주석
calc.editors.ra.toolbar.multi-line-comment-content,"<b>/* this is a very,<br>very long comment */</b><br><span class=""math"">&pi;</span> a, b A","<b>/* este é um comentário longo,<br>muito longo*/</b><br><span class=""math"">&pi;</span> a, b A","<b>/* this is a very,<br>very long comment */</b><br><span class=""math"">&pi;</span> a, b A","<b>/* this is a very,<br>very long comment */</b><br><span class=""math"">&pi;</span> a, b A","<b>/* this is a very,<br>very long comment */</b><br><span class=""math"">&pi;</span> a, b A"
calc.editors.ra.toolbar.inline-relation,inline-relation,relação aninhada,inline-Relation,inline-relation,인라인-릴레이션
calc.editors.ra.toolbar.inline-relation-content,"&sigma; a = 'test' (<b>{<br>a:string, b:number, X.c:date<br>a, 1, 1970-01-01<br>}</b>)","&sigma; a = 'test' (<b>{<br>a:string, b:number, X.c:date<br>a, 1, 1970-01-01<br>}</b>)","&sigma; a = 'test' (<b>{<br>a:string, b:number, X.c:date<br>a, 1, 1970-01-01<br>}</b>)","&sigma; a = 'test' (<b>{<br>a:string, b:number, X.c:date<br>a, 1, 1970-01-01<br>}</b>)","&sigma; a = 'test' (<b>{<br>a:string, b:number, X.c:date<br>a, 1, 1970-01-01<br>}</b>)"
calc.editors.ra.toolbar.inline-relation-editor,inline-relation (editor),relação aninhada (editor),inline-Relation (Editor),inline-relation (editor),인라인-릴레이션 (에디터)
calc.editors.ra.toolbar.inline-relation-editor-content,create a new inline-relation using a built in editor,criar uma nova relação aninhada usando o editor,eine neue inline-Relation mit dem Editor erstellen,crear nuevo inline-relation utilizando editor incorporado,create a new inline-relation using a built in editor
calc.editors.ra.toolbar.insert-date,insert date,inserir data,Datum einfügen,insertar fecha,날짜 삽입
calc.editors.ra.toolbar.insert-date-content,"<span class=""math"">&sigma;</span> a &lt; <b>date('1970-01-01')</b> ( A )","<span class=""math"">&sigma;</span> a &lt; <b>date('1970-01-01')</b> ( A )","<span class=""math"">&sigma;</span> a &lt; <b>date('1970-01-01')</b> ( A )",,"<span class=""math"">&sigma;</span> a &lt; <b>date('1970-01-01')</b> ( A )"
calc.editors.ra.toolbar.autoreplace-operators.title,operator replacement,substituição de operador,Operatoren ersetzen,,operator replacement
calc.editors.ra.toolbar.autoreplace-operators.header,automatically replace operators,substituir operadores automaticamente,Operatoren automatisch ersetzen,,automatically replace operators
calc.editors.ra.toolbar.autoreplace-operators.none,no replacement,sem substituição,keine Ersetzung,,no replacement
calc.editors.ra.toolbar.autoreplace-operators.plain2math,pi => π,pi => π,pi => π,,pi => π
calc.editors.ra.toolbar.autoreplace-operators.math2plain,π => pi,π => pi,π => pi,,π => pi
calc.editors.sql.tab-name,SQL,SQL,SQL,SQL,SQL
calc.editors.sql.tab-name-short,SQL,SQL,SQL,SQL,SQL
calc.editors.sql.button-execute-query,execute query,Executar consulta,Query ausführen,ejecutar consulta,쿼리 실행
calc.editors.sql.button-execute-selection,execute selection,Executar seleção,Markierung ausführen,ejecutar selección,셀렉션 실행
calc.editors.sql.button-download,download,Download,download,descargar,다운로드
calc.editors.sql.toolbar.select,select clause,cláusula select,select-Klausel,seleccionar cláusula,select  문
calc.editors.sql.toolbar.select-content,"<p>SELECT * FROM A</p><div>SELECT a, A.b, A.c FROM A</div>","<p>SELECT * FROM A</p><div>SELECT a, A.b, A.c FROM A</div>","<p>SELECT * FROM A</p><div>SELECT a, A.b, A.c FROM A</div>","<p>SELECT * FROM A</p><div>SELECT a, A.b, A.c FROM A</div>","<p>SELECT * FROM A</p><div>SELECT a, A.b, A.c FROM A</div>"
calc.editors.sql.toolbar.from,from clause,cláusula from,from-Klausel,cláusula from (desde),from 문
calc.editors.sql.toolbar.from-content,"<div>SELECT * <br>FROM A, B as b<br>INNER JOIN C NATURAL</div>","<div>SELECT * <br>FROM A, B as b<br>INNER JOIN C NATURAL</div>","<div>SELECT * <br>FROM A, B as b<br>INNER JOIN C NATURAL</div>","<div>SELECT * <br>FROM A, B as b<br>INNER JOIN C NATURAL</div>","<div>SELECT * <br>FROM A, B as b<br>INNER JOIN C NATURAL</div>"
calc.editors.sql.toolbar.where,where  clause,cláusula where,where-Klausel,cláusula where (donde),where 문
calc.editors.sql.toolbar.where-content,"SELECT * FROM A, B <br>where A.a = B.a or false","SELECT * FROM A, B <br>where A.a = B.a or false","SELECT * FROM A, B <br>where A.a = B.a or false","SELECT * FROM A, B <br>where A.a = B.a or false","SELECT * FROM A, B <br>where A.a = B.a or false"
calc.editors.sql.toolbar.group-by,group by clause,cláusula group by,group-b-Klausel,cláusula agrupar por,group by 문
calc.editors.sql.toolbar.group-by-content,"SELECT a, COUNT(b) as num <br>FROM A <br>GROUP BY a","SELECT a, COUNT(b) as num <br>FROM A <br>GROUP BY a","SELECT a, COUNT(b) as num <br>FROM A <br>GROUP BY a","SELECT a, COUNT(b) as num <br>FROM A <br>GROUP BY a","SELECT a, COUNT(b) as num <br>FROM A <br>GROUP BY a"
calc.editors.sql.toolbar.having,having  clause,cáusula having  clause,having-Klausel,teniendo cláusula,having 문
calc.editors.sql.toolbar.having-content,"SELECT a, SUM(b) as sum <br>FROM A <br>GROUP BY a<br>having sum > 10","SELECT a, SUM(b) as sum <br>FROM A <br>GROUP BY a<br>having sum > 10","SELECT a, SUM(b) as sum <br>FROM A <br>GROUP BY a<br>having sum > 10","SELECT a, SUM(b) as sum <br>FROM A <br>GROUP BY a<br>having sum > 10","SELECT a, SUM(b) as sum <br>FROM A <br>GROUP BY a<br>having sum > 10"
calc.editors.sql.toolbar.order-by,order by  clause,cláusula order by,order-by-Klausel,cláusula ordenar por,order by 문
calc.editors.sql.toolbar.order-by-content,"<p>SELECT * FROM A ORDER BY a asc, b desc</p><div>SELECT * FROM A ORDER BY 1, 2, 3</div>","<p>SELECT * FROM A ORDER BY a asc, b desc</p><div>SELECT * FROM A ORDER BY 1, 2, 3</div>","<p>SELECT * FROM A ORDER BY a asc, b desc</p><div>SELECT * FROM A ORDER BY 1, 2, 3</div>","<p>SELECT * FROM A ORDER BY a asc, b desc</p><div>SELECT * FROM A ORDER BY 1, 2, 3</div>","<p>SELECT * FROM A ORDER BY a asc, b desc</p><div>SELECT * FROM A ORDER BY 1, 2, 3</div>"
calc.editors.sql.toolbar.limit,limit clause,cláusula limit,limit-Klausel,cláusula límite,limit 문
calc.editors.sql.toolbar.limit-content,SELECT * FROM A <br>LIMIT 10 OFFSET 0,SELECT * FROM A <br>LIMIT 10 OFFSET 0,SELECT * FROM A <br>LIMIT 10 OFFSET 0,SELECT * FROM A <br>LIMIT 10 OFFSET 0,SELECT * FROM A <br>LIMIT 10 OFFSET 0
calc.editors.sql.toolbar.insert-date,insert date,inserir data,Datum einfügen,insertar fecha,insert date
calc.editors.sql.toolbar.insert-date-content,"select * from A
where a &lt; <b>date(""1970-01-01"")</b>","select * from A
where a &lt; <b>date(""1970-01-01"")</b>","select * from A
where a &lt; <b>date(""1970-01-01"")</b>","select * from A
where a &lt; <b>date(""1970-01-01"")</b>","select * from A
where a &lt; <b>date(""1970-01-01"")</b>"
calc.result.modal.title,Result,Resultado,Ergebnis,Resultado,Result
calc.result.modal.close,Close,Fechar,Schließen,Cerrar,Close
calc.editors.ra.inline-editor.title,Relation Editor,Editor de Relação,Relation Editor,Editor de relaciones,Relation Editor
calc.editors.ra.inline-editor.button-download-csv,Download CSV,Download CSV,CSV downloaden,Descargar CSV,Download CSV
calc.editors.ra.inline-editor.button-upload-csv,Upload CSV,Upload CSV,CSV uploaden,Subir CSV,upload CSV
calc.editors.ra.inline-editor.button-cancel,Cancel,Cancelar,Abbrechen,Cancelar,Cancel
calc.editors.ra.inline-editor.button-ok,Ok,Ok,Ok,Ok,Ok
calc.editors.ra.inline-editor.row-name,Name,Nome,Name,Nombre,Name
calc.editors.ra.inline-editor.row-type,Type,Tipo,Typ,Escriba,Type
calc.editors.ra.inline-editor.input-relation-name,Relation Name,Nome da Relação,Relations Name,Nombre de la relación,Relation Name
calc.navigation.imprint,Imprint,Impressão,Impressum,Imprimir,Imprint
